1	AAo	0.7		84.93	0.54	0.45	0.45
41	A5o	0.15	55.74	3.9	0.9	21.71
42	A6o	0.15	55.87	3.62	0.9	22.62
43	Q9s	0.15	56.22	2.88	0.3	22.92
44	K7s	0.15	55.84	3.38	0.3	23.22
45	JTs	0.15	56.15	2.74	0.3	23.52
46	A2s	0.14	55.5	3.74	0.3	23.83
47	QTo	0.14	55.94	2.68	0.9	24.73
48	44o	0.14	56.25	1.53	0.45	25.18
49	A4o	0.13	54.73	3.99	0.9	26.09
50	K6s	0.13	54.8	3.67	0.3	26.39
51	K8o	0.12	54.43	3.17	0.9	27.3
52	Q8s	0.12	54.41	3.2	0.3	27.6
53	A3o	0.11	53.85	3.97	0.9	28.5
54	K5s	0.11	53.83	3.91	0.3	28.8
55	J9s	0.11	54.11	3.1	0.3	29.11
56	Q9o	0.1	53.86	2.99	0.9	30.01
57	JTo	0.1	53.82	2.84	0.9	30.92
58	K7o	0.1	53.41	3.54	0.9	31.82
59	A2o	0.09	52.94	3.96	0.9	32.73
60	K4s	0.09	52.88	3.99	0.3	33.03
61	Q7s	0.08	52.52	3.55	0.3	33.33
62	K6o	0.08	52.29	3.85	0.9	34.23
63	K3s	0.08	52.07	3.96	0.3	34.53
64	T9s	0.08	52.37	3.3	0.3	34.84
65	J8s	0.08	52.31	3.4	0.3	35.14
66	33o	0.07	52.83	1.7	0.45	35.59
67	Q6s	0.07	51.67	3.86	0.3	35.89
68	Q8o	0.07	51.93	3.33	0.9	36.8
69	K5o	0.06	51.25	4.12	0.9	37.7
70	J9o	0.06	51.63	3.22	0.9	38.61
71	K2s	0.06	51.23	3.94	0.3	38.91
72	Q5s	0.05	50.71	4.11	0.3	39.21
73	T8s	0.04	50.5	3.65	0.3	39.51
74	K4o	0.04	50.22	4.2	0.9	40.42
75	J7s	0.04	50.45	3.74	0.3	40.72
76	Q4s	0.03	49.76	4.18	0.3	41.02
77	Q7o	0.03	49.9	3.72	0.9	41.93
78	T9o	0.03	49.81	3.43	0.9	42.83
79	J8o	0.02	49.71	3.55	0.9	43.74
80	K3o	0.02	49.33	4.18	0.9	44.64
81	Q6o	0.02	48.99	4.05	0.9	45.55
82	Q3s	0.02	48.93	4.16	0.3	45.85
83	98s	0.01	48.85	3.88	0.3	46.15
84	T7s	0.01	48.65	3.97	0.3	46.45
85	J6s	0.01	48.57	4.06	0.3	46.75
86	K2o	0.01	48.42	4.17	0.9	47.66
87	22o	0.0	49.38	1.89	0.45	48.11
88	Q2s	0.0	48.1	4.13	0.3	48.41
89	Q5o	0.0	47.95	4.32	0.9	49.32
90	J5s	0.0	47.82	4.33	0.3	49.62
91	T8o	0.0	47.81	3.8	0.9	50.52
92	J7o	0.0	47.72	3.91	0.9	51.43
93	Q4o	-0.01	46.92	4.4	0.9	52.33
94	97s	-0.01	46.99	4.25	0.3	52.63
95	J4s	-0.01	46.86	4.4	0.3	52.94
96	T6s	-0.02	46.8	4.28	0.3	53.24
97	J3s	-0.03	46.04	4.37	0.3	53.54
98	Q3o	-0.03	46.02	4.38	0.9	54.44
99	98o	-0.03	46.06	4.05	0.9	55.35
100	87s	-0.04	45.68	4.5	0.3	55.65
101	T7o	-0.04	45.82	4.15	0.9	56.56
102	J6o	-0.04	45.71	4.26	0.9	57.46
103	96s	-0.05	45.15	4.55	0.3	57.76
104	J2s	-0.05	45.2	4.35	0.3	58.06
105	Q2o	-0.05	45.1	4.37	0.9	58.97
106	T5s	-0.05	44.93	4.55	0.3	59.27
107	J5o	-0.05	44.9	4.55	0.9	60.18
108	T4s	-0.06	44.2	4.65	0.3	60.48
109	97o	-0.07	44.07	4.45	0.9	61.38
110	86s	-0.07	43.81	4.84	0.3	61.68
111	J4o	-0.07	43.86	4.63	0.9	62.59
112	T6o	-0.07	43.84	4.48	0.9	63.49
113	95s	-0.08	43.31	4.81	0.3	63.8
114	T3s	-0.08	43.37	4.62	0.3	64.1
115	76s	-0.09	42.82	5.08	0.3	64.4
116	J3o	-0.09	42.96	4.61	0.9	65.3
117	87o	-0.09	42.69	4.71	0.9	66.21
118	T2s	-0.1	42.54	4.59	0.3	66.51
119	85s	-0.1	41.99	5.1	0.3	66.81
120	96o	-0.11	42.1	4.77	0.9	67.72
121	J2o	-0.11	42.04	4.59	0.9	68.62
122	T5o	-0.11	41.85	4.78	0.9	69.53
123	94s	-0.12	41.4	4.9	0.3	69.83
124	75s	-0.12	40.97	5.39	0.3	70.13
125	T4o	-0.12	41.05	4.89	0.9	71.04
126	93s	-0.13	40.8	4.91	0.3	71.34
127	86o	-0.13	40.69	5.08	0.9	72.24
128	65s	-0.13	40.34	5.57	0.3	72.54
129	84s	-0.14	40.1	5.19	0.3	72.85
130	95o	-0.14	40.13	5.06	0.9	73.75
131	T3o	-0.14	40.15	4.87	0.9	74.66
132	92s	-0.15	39.97	4.88	0.3	74.96
133	76o	-0.15	39.65	5.33	0.9	75.86
134	74s	-0.16	39.1	5.48	0.3	76.16
135	T2o	-0.16	39.23	4.85	0.9	77.07
136	54s	-0.17	38.53	5.84	0.3	77.37
137	85o	-0.17	38.74	5.37	0.9	78.28
138	64s	-0.17	38.48	5.7	0.3	78.58
139	83s	-0.18	38.28	5.18	0.3	78.88
140	94o	-0.18	38.08	5.17	0.9	79.78
141	75o	-0.18	37.67	5.67	0.9	80.69
142	82s	-0.19	37.67	5.18	0.3	80.99
143	73s	-0.19	37.3	5.46	0.3	81.29
144	93o	-0.19	37.42	5.18	0.9	82.2
145	65o	-0.2	37.01	5.86	0.9	83.1
146	53s	-0.2	36.75	5.86	0.3	83.4
147	63s	-0.2	36.68	5.69	0.3	83.71
148	84o	-0.21	36.7	5.47	0.9	84.61
149	92o	-0.21	36.51	5.16	0.9	85.52
150	43s	-0.22	35.72	5.82	0.3	85.82
151	74o	-0.22	35.66	5.77	0.9	86.72
152	72s	-0.23	35.43	5.43	0.3	87.02
153	54o	-0.23	35.07	6.16	0.9	87.93
154	64o	-0.23	35.0	6.01	0.9	88.83
155	52s	-0.24	34.92	5.83	0.3	89.14
156	62s	-0.24	34.83	5.66	0.3	89.44
157	83o	-0.25	34.74	5.46	0.9	90.34
158	42s	-0.26	33.91	5.82	0.3	90.64
159	82o	-0.26	34.08	5.48	0.9	91.55
160	73o	-0.26	33.71	5.76	0.9	92.45
161	53o	-0.27	33.16	6.19	0.9	93.36
162	63o	-0.27	33.06	6.01	0.9	94.26
163	32s	-0.28	33.09	5.78	0.3	94.57
164	43o	-0.29	32.06	6.15	0.9	95.47
165	72o	-0.3	31.71	5.74	0.9	96.38
166	52o	-0.31	31.19	6.18	0.9	97.28
167	62o	-0.31	31.07	5.99	0.9	98.19
168	42o	-0.33	30.11	6.16	0.9	99.09
169	32o	-0.35	29.23	6.12	0.9	100
